"Name","Gross Export","Share","Code","Sector"
"Horses","109905","0.0005386850402614623","0101","Agriculture"
"Fowl","284920","0.0013964982636940615","0105","Agriculture"
"Other live animals","36664","0.00017970381980934673","0106","Agriculture"
"Poultry","3507712","0.01719259342109653","0207","Agriculture"
"Other meat","1087","0.000005327788897358715","0208","Agriculture"
"Live Fish","42504088","0.20832825035764285","0301","Agriculture"
"Fish, excluding fillets","29316812","0.14369253493979092","0302","Agriculture"
"Frozen fish, excluding fillets","3226274","0.01581316172680505","0303","Agriculture"
"Fish fillets","25454378","0.12476131784505237","0304","Agriculture"
"Preserved fish","7848123","0.03846655251564449","0305","Agriculture"
"Crustaceans","89412800","0.4382451914643563","0306","Agriculture"
"Molluscs","25222232","0.12362348446753053","0307","Agriculture"
"Milk","5278546","0.025872105586933997","0401","Agriculture"
"Milk, concentrated","117293","0.0005748963598324708","0402","Agriculture"
"Fermented milk products","4522358","0.022165748612954336","0403","Agriculture"
"Whey","21794","0.00010682045191263646","0404","Agriculture"
"Butter","1219071","0.005975117699072664","0405","Agriculture"
"Cheese","8767876","0.04297460202963931","0406","Agriculture"
"Eggs, in shell","2693345","0.013201079657549776","0407","Agriculture"
"Egg yolks","6236","0.00003056494164114898","0408","Agriculture"
"Honey","41215","0.00020200995345413008","0409","Agriculture"
"Coral and shells","2113992","0.010361456399912735","0508","Agriculture"
"Animal products n.e.c.","1539193","0.007544153980029671","0511","Agriculture"
"Flower bulbs","302155","0.0014809733710040684","0601","Agriculture"
"Other live plants","961295","0.004711662215350916","0602","Agriculture"
"Cut flowers","545266","0.002672550267623916","0603","Agriculture"
"Other parts of plants","3862128","0.018929717275600937","0604","Agriculture"
"Potatoes","396219","0.0019420158133602323","0701","Agriculture"
"Tomatoes","68043088","0.3335043319120533","0702","Agriculture"
"Onions, shallots, garlic","787018","0.0038574662027796324","0703","Agriculture"
"Cabbages, cauliflowers, broccoli","75177","0.0003684702722509071","0704","Agriculture"
"Lettuce","2772938","0.013591194378531811","0705","Agriculture"
"Carrots & turnips","7998","0.00003920115510678473","0706","Agriculture"
"Cucumbers","23993","0.0001175985639506234","0707","Agriculture"
"Legumes","953583","0.004673862851987134","0708","Agriculture"
"Other vegetables","10343391","0.050696783561030405","0709","Agriculture"
"Frozen vegetables","166874","0.0008179111724543129","0710","Agriculture"
"Vegetables, provisionally preserved","3953038","0.019375300797826216","0711","Agriculture"
"Vegetables, dried","16207897","0.0794408957554127","0712","Agriculture"
"Legumes, dried","3257288","0.015965172807635482","0713","Agriculture"
"Cashew nuts & coconuts","53395","0.00026170863677504007","0801","Agriculture"
"Other nuts","3593337","0.017612273204294638","0802","Agriculture"
"Bananas and plantains","27868","0.00013659137165739896","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","255186128","1.2507615634943512","0804","Agriculture"
"Citrus fruit","12611933","0.06181574665283531","0805","Agriculture"
"Grapes","1149070","0.0056320169165482775","0806","Agriculture"
"Melons and papayas","5565495","0.027278548729811808","0807","Agriculture"
"Apples & pears","603750","0.0029592019749588995","0808","Agriculture"
"Peaches & cherries","15688437","0.07689483023506133","0809","Agriculture"
"Other fresh fruit","13284846","0.0651139420624842","0810","Agriculture"
"Fruits and nuts, frozen","804316","0.003942250096382678","0811","Agriculture"
"Fruits and nuts, provisionally preserved","27591","0.00013523369224197266","0812","Agriculture"
"Fruits, dried","177398","0.0008694931875010498","0813","Agriculture"
"Peel of citrus fruit or melons","334366","0.0016388513914022483","0814","Agriculture"
"Coffee","214828","0.0010529514565241747","0901","Agriculture"
"Tea","2894","0.000014184564000879594","0902","Agriculture"
"Pepper","20242304","0.09921501610686283","0904","Agriculture"
"Vanilla","9380","0.00004597484807472377","0905","Agriculture"
"Cloves","2505","0.00001227793117560587","0907","Agriculture"
"Anise, fennel, etc.","272200","0.00133415284071853","0909","Agriculture"
"Spices","4496330","0.022038175761601574","0910","Agriculture"
"Wheat and meslin","2449","0.000012003454470682145","1001","Agriculture"
"Barley","3056","0.000014978585897266082","1003","Agriculture"
"Corn","240012","0.001176387551824158","1005","Agriculture"
"Rice","163875","0.0008032119646317014","1006","Agriculture"
"Grain sorghum","7650","0.00003749547844047301","1007","Agriculture"
"Other cereals","110868","0.0005434050593122042","1008","Agriculture"
"Wheat or meslin flour","1842897","0.009032719572746718","1101","Agriculture"
"Cereal flours","225308","0.0011043178113027572","1102","Agriculture"
"Cereal meals","5631208","0.027600632438930607","1103","Agriculture"
"Worked cereal grains","119330","0.0005848804499740712","1104","Agriculture"
"Potato flour","95524","0.00046819844216310384","1105","Agriculture"
"Flour of dried legumes","2801345","0.013730427588474101","1106","Agriculture"
"Malt","1013","0.000004965087537280936","1107","Agriculture"
"Starches","17600","0.00008626410726174183","1108","Agriculture"
"Wheat gluten","2583","0.00001266023801460677","1109","Agriculture"
"Linseed","31195","0.00015289822875170662","1204","Agriculture"
"Rape or colza seeds","4464","0.00002187971447820543","1205","Agriculture"
"Sunflower seeds","25051","0.00012278421312578947","1206","Agriculture"
"Other oil seeds","178808","0.0008764041188214508","1207","Agriculture"
"Flours of oil seeds","76213","0.00037354809129199607","1208","Agriculture"
"Seeds used for sowing","88003","0.0004313352404179015","1209","Agriculture"
"Hop cones","3439","0.000016855810504155124","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","6200255","0.030389742180122224","1211","Agriculture"
"Seaweeds & edible vegetable products","7302174","0.035790654612494456","1212","Agriculture"
"Lac","2710","0.000013282711970415931","1301","Agriculture"
"Vegetable saps and extracts","1962589","0.009619374318563332","1302","Agriculture"
"Vegetable materials used for plaiting","26832","0.00013151355261631004","1401","Agriculture"
"Vegetable products n.e.c.","149352","0.0007320293720315719","1404","Agriculture"
"Pig and poultry fat, rendered","1858925","0.009111278726791672","1501","Agriculture"
"Soybean oil","89920","0.0004407311661918083","1507","Agriculture"
"Olive oil","646631168","3.169378433814625","1509","Agriculture"
"Olive oil, blended","18499300","0.090671909060633","1510","Agriculture"
"Sunflower seed oil","1183513","0.005800834794185561","1512","Agriculture"
"Coconut & palm kernel oil","1135891","0.005567421764866318","1513","Agriculture"
"Rapeseed, colza or mustard oil,","46710","0.0002289429801247705","1514","Agriculture"
"Other vegetable fats and oils","38945184","0.19088474601728816","1515","Agriculture"
"Vegetable fats, hydrogenated","13523981","0.06628603111305446","1516","Agriculture"
"Margarine","38054088","0.18651715505566835","1517","Agriculture"
"Animal or vegetable fats and oils, processed","835487","0.004095030692260847","1518","Agriculture"
"Stearic acid","6726391","0.0329685292447963","1519","Agriculture"
"Glycerol","222101","0.0010885991185761435","1520","Agriculture"
"Degras and wax residues","3594516","0.01761805191920723","1522","Agriculture"
"Sausages","1307761","0.006409820180495611","1601","Agriculture"
"Other prepared or preserved meat","152151","0.0007457483059080274","1602","Agriculture"
"Extracts and juices of meat or fish","111579","0.0005468899331907893","1603","Agriculture"
"Prepared or preserved fish","30965528","0.1517735016368449","1604","Agriculture"
"Prepared aquatic invertibrates","14746345","0.07227728902265058","1605","Agriculture"
"Sugarcane & sucrose","2466076","0.012087150260204958","1701","Agriculture"
"Other sugars","3303605","0.01619218954945606","1702","Agriculture"
"Molasses","409969","0.002009409647158468","1703","Agriculture"
"Confectionery sugar","13939821","0.06832421670190235","1704","Agriculture"
"Cocoa powder","1589960","0.007792981817152218","1805","Agriculture"
"Chocolates","5269070","0.02582566020736512","1806","Agriculture"
"Malt extract","2553624","0.012516255377395353","1901","Agriculture"
"Pasta","35094392","0.17201059066895538","1902","Agriculture"
"Cereal foods","427598","0.0020958158941424025","1904","Agriculture"
