"Name","Gross Import","Share","Code","Sector"
"Horses","285802","0.001130153210051396","0101","Agriculture"
"Bovine","4875459","0.019279136042868728","0102","Agriculture"
"Fowl","6426112","0.025410917715585603","0105","Agriculture"
"Other live animals","371994","0.0014709841541341872","0106","Agriculture"
"Beef","2070","0.000008185447074570471","0201","Agriculture"
"Beef (frozen)","902597","0.00356915940732661","0202","Agriculture"
"Pork","3491","0.000013804539003538897","0203","Agriculture"
"Edible offal","1211543","0.0047908314517228654","0206","Agriculture"
"Poultry","421472","0.0016666361108277127","0207","Agriculture"
"Preserved meat","603763","0.0023874734696057447","0210","Agriculture"
"Live Fish","21670162","0.08569080393640975","0301","Agriculture"
"Fish, excluding fillets","4388961","0.017355366172876276","0302","Agriculture"
"Frozen fish, excluding fillets","68458912","0.27070859949694553","0303","Agriculture"
"Fish fillets","263286","0.0010411176900847155","0304","Agriculture"
"Preserved fish","7651503","0.030256508621940664","0305","Agriculture"
"Crustaceans","1335688","0.00528174078847289","0306","Agriculture"
"Molluscs","1387898","0.005488195953575945","0307","Agriculture"
"Milk","39560","0.00015643298853623567","0401","Agriculture"
"Milk, concentrated","11101294","0.043898093959539475","0402","Agriculture"
"Fermented milk products","711843","0.0028148566192770373","0403","Agriculture"
"Whey","7682981","0.03038098277798575","0404","Agriculture"
"Butter","123167","0.00048704200958145946","0405","Agriculture"
"Cheese","11958522","0.0472878497203317","0406","Agriculture"
"Eggs, in shell","154316","0.0006102151936035829","0407","Agriculture"
"Egg yolks","1229415","0.004861503099122249","0408","Agriculture"
"Honey","1293102","0.005113342020783201","0409","Agriculture"
"Edible animal products, n.e.c.","35810","0.00014160428006781088","0410","Agriculture"
"Brushmaking hair","445659","0.0017622793032879235","0502","Agriculture"
"Animal guts, except fish","848629","0.0033557525436935577","0504","Agriculture"
"Feathers and down","1366591","0.005403941209219485","0505","Agriculture"
"Bones, simply prepared","3117","0.000012325622478954664","0506","Agriculture"
"Whalebone & horns","2002","0.000007916553161009702","0507","Agriculture"
"Coral and shells","12019","0.00004752699922186593","0508","Agriculture"
"Animal products n.e.c.","952354","0.0037659146199301866","0511","Agriculture"
"Flower bulbs","167497","0.0006623371152895314","0601","Agriculture"
"Other live plants","4555467","0.01801378455480788","0602","Agriculture"
"Cut flowers","164728","0.0006513875969564466","0603","Agriculture"
"Other parts of plants","13251","0.00005239872424402575","0604","Agriculture"
"Potatoes","10438824","0.04127847409311885","0701","Agriculture"
"Tomatoes","45032","0.00017807103993336108","0702","Agriculture"
"Onions, shallots, garlic","7431614","0.02938699665489708","0703","Agriculture"
"Cucumbers","127667","0.0005048364597435692","0707","Agriculture"
"Legumes","120554","0.00047670936552066107","0708","Agriculture"
"Other vegetables","227819","0.0009008697425514832","0709","Agriculture"
"Frozen vegetables","951357","0.0037619721606387147","0710","Agriculture"
"Vegetables, provisionally preserved","171708","0.0006789887663190079","0711","Agriculture"
"Vegetables, dried","271738","0.0010745396218114157","0712","Agriculture"
"Legumes, dried","16087966","0.06361700204371458","0713","Agriculture"
"Tubers","22666","0.00008962866830541752","0714","Agriculture"
"Cashew nuts & coconuts","5316541","0.021023316413180657","0801","Agriculture"
"Other nuts","16704141","0.06605355656118969","0802","Agriculture"
"Bananas and plantains","40091676","0.1585354067772112","0803","Agriculture"
"Avocados, pineapples, mangos, etc.","4758834","0.018817963209500722","0804","Agriculture"
"Grapes","1969510","0.007788077230839269","0806","Agriculture"
"Melons and papayas","3006","0.000011886692708289292","0807","Agriculture"
"Other fresh fruit","1421219","0.005619957925542981","0810","Agriculture"
"Fruits and nuts, frozen","210778","0.0008334841369487028","0811","Agriculture"
"Fruits, dried","408660","0.0016159733340550572","0813","Agriculture"
"Peel of citrus fruit or melons","1018","0.0000040255000588950434","0814","Agriculture"
"Coffee","54422640","0.21520465670454197","0901","Agriculture"
"Tea","12525485","0.04952980413083397","0902","Agriculture"
"Pepper","6969039","0.027557826036288653","0904","Agriculture"
"Vanilla","14844","0.00005869795960141259","0905","Agriculture"
"Cinnamon","336624","0.001331119775860005","0906","Agriculture"
"Cloves","91373","0.00036131828770276695","0907","Agriculture"
"Nutmeg","54776","0.00021660195601771597","0908","Agriculture"
"Anise, fennel, etc.","1673744","0.006618523153806705","0909","Agriculture"
"Spices","4480126","0.017715861961549326","0910","Agriculture"
"Wheat and meslin","517268608","2.0454467701066377","1001","Agriculture"
"Barley","247118688","0.977186928387098","1003","Agriculture"
"Oats","1061","0.000004195535915999647","1004","Agriculture"
"Corn","195152272","0.7716949729169955","1005","Agriculture"
"Rice","9709188","0.03839325821790083","1006","Agriculture"
"Grain sorghum","507718","0.0020076805883124495","1007","Agriculture"
"Other cereals","2438865","0.009644058154358605","1008","Agriculture"
"Wheat or meslin flour","519565","0.002054527444105897","1101","Agriculture"
"Cereal flours","114093","0.00045116048941012976","1102","Agriculture"
"Cereal meals","196138","0.0007755928590879725","1103","Agriculture"
"Worked cereal grains","831450","0.0032878212416191394","1104","Agriculture"
"Potato flour","1566322","0.006193741948181338","1105","Agriculture"
"Flour of dried legumes","2884129","0.01140477550035452","1106","Agriculture"
"Malt","7990686","0.03159774750845953","1107","Agriculture"
"Starches","5166015","0.02042808810093583","1108","Agriculture"
"Wheat gluten","451052","0.0017836049632266474","1109","Agriculture"
"Soya beans","271326848","1.0729137943062932","1201","Agriculture"
"Peanuts","4502265","0.017803406702024648","1202","Agriculture"
"Linseed","219693","0.0008687369198809711","1204","Agriculture"
"Rape or colza seeds","837811","0.0033129746855038453","1205","Agriculture"
"Sunflower seeds","3218915","0.012728627231903869","1206","Agriculture"
"Other oil seeds","14698615","0.058123060459897416","1207","Agriculture"
"Flours of oil seeds","11766","0.00004652655569052954","1208","Agriculture"
"Seeds used for sowing","19231234","0.07604649665974887","1209","Agriculture"
"Hop cones","1293387","0.005114469002626801","1210","Agriculture"
"Plants used in perfumery, pharmacy or insecticide","6081779","0.024049314069436774","1211","Agriculture"
"Seaweeds & edible vegetable products","788021","0.0031160889802657474","1212","Agriculture"
"Cereal straw and husks","3361","0.000013290477109966836","1213","Agriculture"
"Forage products","1901660","0.007519776465617237","1214","Agriculture"
"Lac","1260766","0.004985475056240538","1301","Agriculture"
"Vegetable saps and extracts","5697735","0.022530680332090713","1302","Agriculture"
"Vegetable materials used for plaiting","284210","0.0011238579290162674","1401","Agriculture"
"Vegetable products n.e.c.","530067","0.002096055736462003","1404","Agriculture"
"Bovine, sheep and goat fats","29078","0.00011498378262529475","1502","Agriculture"
"Lard oil, tallow oil etc.","683439","0.0027025380498538008","1503","Agriculture"
"Fish oils","294373","0.0011640457061268276","1504","Agriculture"
"Wool grease","162541","0.0006427394941776613","1505","Agriculture"
"Soybean oil","73125440","0.28916155503607655","1507","Agriculture"
"Peanut oil","4216","0.000016671422640767683","1508","Agriculture"
"Olive oil","1420194","0.005615904745228278","1509","Agriculture"
"Olive oil, blended","1323225","0.005232458070168363","1510","Agriculture"
"Palm oil","57844056","0.228734038148063","1511","Agriculture"
"Sunflower seed oil","9825119","0.03885168675162162","1512","Agriculture"
"Coconut & palm kernel oil","11520000","0.04555379241500088","1513","Agriculture"
"Other vegetable fats and oils","44145864","0.17456697262472745","1515","Agriculture"
"Vegetable fats, hydrogenated","4718020","0.01865657150085264","1516","Agriculture"
"Margarine","3904214","0.015438520321158007","1517","Agriculture"
"Animal or vegetable fats and oils, processed","76661","0.00030314229863944293","1518","Agriculture"
"Stearic acid","10536256","0.041663751619384334","1519","Agriculture"
"Glycerol","1540305","0.006090862345988535","1520","Agriculture"
"Vegetable waxes and beeswax","299506","0.0011843432422784074","1521","Agriculture"
"Sausages","194693","0.0007698788634248061","1601","Agriculture"
"Other prepared or preserved meat","707863","0.002799118416689216","1602","Agriculture"
"Prepared or preserved fish","1507159","0.005959792380416694","1604","Agriculture"
"Prepared aquatic invertibrates","1061980","0.004199411151812728","1605","Agriculture"
"Sugarcane & sucrose","88717224","0.35081649355304984","1701","Agriculture"
"Other sugars","9489091","0.037522923751827524","1702","Agriculture"
"Molasses","2826436","0.0111766387863095","1703","Agriculture"
"Confectionery sugar","2557232","0.01011211941710048","1704","Agriculture"
"Cocoa beans","9288465","0.03672958389444454","1801","Agriculture"
"Cocoa paste","171844","0.0006795265541461294","1803","Agriculture"
"Cocoa butter","325617","0.0012875945507634845","1804","Agriculture"
"Cocoa powder","7517741","0.029727570568033084","1805","Agriculture"
"Chocolates","10742650","0.04247990000755288","1806","Agriculture"
"Malt extract","18309628","0.07240216954061525","1901","Agriculture"
"Pasta","4782621","0.018912024673057633","1902","Agriculture"
"Tapioca","2188","0.00000865205710104357","1903","Agriculture"
"Cereal foods","2408423","0.009523680676173062","1904","Agriculture"
"Bakery products","6637639","0.026247363639905732","1905","Agriculture"
"Pickled fruits and vegetables","177310","0.0007011408796097053","2001","Agriculture"
"Tomatoes, prepared or preserved","55097","0.00021787129346261317","2002","Agriculture"
"Mushrooms, prepared or preserved","1335771","0.0052820689972203246","2003","Agriculture"
"Other vegetables, frozen","1737087","0.006869001788610819","2004","Agriculture"
"Other vegetables, prepared or preserved","5092365","0.02013685226661597","2005","Agriculture"
"Vegetables, fruits and nuts, preserved by sugar","249653","0.0009872084147380395","2006","Agriculture"
"Jams, jellies and marmalades","3039332","0.012018498177801169","2007","Agriculture"
"Fruits and nuts, otherwise prepared","7217007","0.02853837141802155","2008","Agriculture"
"Fruit juices","4349124","0.017197837837074504","2009","Agriculture"
"Coffee extracts","13851904","0.054774892306295175","2101","Agriculture"
"Yeasts","3673875","0.014527685686515742","2102","Agriculture"
"Sauces and seasonings","5831713","0.02306047251960608","2103","Agriculture"
"Soups and broths","310082","0.0012261641544816235","2104","Agriculture"
"Ice cream","3115014","0.012317769194949786","2105","Agriculture"
"Food preparations n.e.c.","31077686","0.12289118548459887","2106","Agriculture"
"Waters","22612","0.00008941513490347222","2201","Agriculture"
"Waters, flavored or sweetened","3914331","0.01547852619944469","2202","Agriculture"
"Beer","133415","0.0005275659040839707","2203","Agriculture"
"Wine","1793759","0.007093101139630171","2204","Agriculture"
"Wine, flavored","47220","0.00018672309703440465","2205","Agriculture"
"Other fermented beverages","10965","0.00004335914356167401","2206","Agriculture"
"Ethyl alcohol > 80%","7913597","0.03129291275989355","2207","Agriculture"
"Spirits < 80% alcohol","7636052","0.0301954103887285","2208","Agriculture"
"Vinegars","282886","0.0011186224063463488","2209","Agriculture"
"Flours of fish, for animal feed","1585370","0.006269063878556419","2301","Agriculture"
"Cereal residues","12280950","0.04856283393741363","2302","Agriculture"
"Starch residues","1717255","0.0067905796695852715","2303","Agriculture"
"Solid soybean residues","22356830","0.08840611049283544","2304","Agriculture"
"Vegetable materials for animal feeding","82362","0.0003256858898337068","2308","Agriculture"
"Animal feed","45670676","0.18059657065596899","2309","Agriculture"
"Unmanufactured tobacco","31521618","0.1246466356733468","2401","Agriculture"
